id,genres,popularity,vote_average,vote_count,revenue,budget,runtime
3924,"[""Comedy""]",0.196624,6.8,3,0,0,70
3924,"[""Comedy""]",0.196624,6.8,3,0,0,70
3924,"[""Comedy""]",0.196624,6.8,3,0,0,70
3924,"[""Comedy""]",0.196624,6.8,3,0,0,70
6124,[],0.00025,0,0,0,0,420
26228,[],1e-06,0,0,0,0,0
8,"[""Documentary""]",0.004593,6.4,4,0,42000,80
12,"[""Animation"",""Family""]",10.068232,7.6,5478,940335536,94000000,100
16,"[""Drama"",""Crime"",""Music""]",3.021382,7.6,342,40031879,12800000,140
20,"[""Drama"",""Romance""]",1.041546,7.2,75,9726954,0,106
24,"[""Action"",""Crime""]",7.620178,7.7,4443,180949000,30000000,111
28,"[""Drama"",""War""]",5.726318,8,1852,89460381,31500000,153
32,"[""Animation"",""History""]",1.022458,5.3,3,0,0,21
64,"[""Drama"",""Romance""]",1.482907,7.4,238,51001550,9285469,112
68,"[""Comedy"",""Science Fiction""]",4.249236,7.6,793,0,15000000,132
76,"[""Drama"",""Romance""]",2.475919,7.7,881,5535405,2500000,105
80,"[""Drama"",""Romance""]",2.949474,7.6,662,15992615,2700000,80
88,"[""Drama"",""Music"",""Romance""]",3.078148,7,1164,213954274,6000000,100
92,"[""Documentary""]",0.000266,7,3,0,0,94
96,"[""Action"",""Comedy"",""Crime""]",2.213849,6.1,566,299965036,20000000,100
100,"[""Comedy"",""Crime""]",1.200169,7.4,1561,3897569,1350000,105
104,"[""Action"",""Drama"",""Thriller""]",2.669856,7.2,623,7267585,1530000,81
108,"[""Drama"",""Music"",""Mystery""]",2.270661,7.7,290,0,0,98
112,"[""Comedy"",""Drama"",""Romance""]",1.029716,6.5,29,0,0,112
116,"[""Drama"",""Thriller"",""Crime"",""Romance""]",2.408386,7.2,997,85306374,15000000,124
120,"[""Adventure"",""Fantasy"",""Action""]",9.433955,8,8067,871368364,93000000,178
124,"[""Drama"",""Fantasy""]",0.748248,7,5,0,0,109
128,"[""Adventure"",""Fantasy"",""Animation""]",5.772524,8.2,1774,159375308,26500000,134
132,"[""Documentary"",""Music""]",0.172064,7.8,38,0,0,91
136,"[""Drama"",""Horror""]",1.4148,7.7,208,0,0,64
140,"[""Crime"",""Drama"",""Romance"",""Thriller""]",1.864039,7,190,40266982,5000000,106
144,"[""Drama"",""Fantasy"",""Romance""]",1.596083,7.5,235,0,2500000,128
148,"[""Drama"",""Romance""]",1.266026,6.7,45,0,5000000,112
152,"[""Science Fiction"",""Adventure"",""Mystery""]",2.391443,6.2,503,139000000,35000000,132
156,"[""Comedy"",""Drama"",""Romance""]",0.470005,6.8,23,0,0,111
160,"[""Documentary""]",0.560486,6.7,74,0,0,1
164,"[""Comedy"",""Drama"",""Romance""]",4.234961,7.6,949,9500000,2500000,110
168,"[""Science Fiction"",""Adventure""]",1.961214,6.9,456,133000000,24000000,119
172,"[""Science Fiction"",""Action"",""Adventure"",""Thriller""]",2.315443,5.6,357,70200000,30000000,107
176,"[""Horror"",""Mystery"",""Crime""]",6.912736,7.2,1907,103911669,1200000,103
180,"[""Action"",""Thriller"",""Science Fiction"",""Mystery""]",6.045004,7.1,2401,358372926,102000000,145
184,"[""Action"",""Crime"",""Drama"",""Thriller""]",2.762544,7.3,1332,39673162,12000000,154
192,"[""Drama"",""Thriller"",""Mystery""]",2.128158,7.2,647,77200000,20000000,130
196,"[""Adventure"",""Comedy"",""Family"",""Science Fiction""]",3.97897,7.1,2638,244527583,40000000,118
200,"[""Science Fiction"",""Action"",""Adventure"",""Thriller""]",2.07944,6.3,373,118000000,70000000,103
204,"[""Drama"",""Thriller"",""Adventure""]",1.6714,7.9,158,0,0,147
